image_id,gt_count,pred_cnt,abs_error,crop_triggered
1078,27,27,0,0
1079,13,15,2,0
1080,99,98,1,0
1081,22,22,0,0
1082,9,9,0,0
1083,88,97,9,0
1084,10,10,0,0
1085,13,10,3,0
1086,11,11,0,0
1087,41,45,4,0
1088,49,47,2,0
1089,97,39,58,0
1090,55,56,1,0
1091,36,42,6,0
1092,25,25,0,0
1093,15,12,3,0
1094,356,477,121,0
1095,16,12,4,0
1096,30,30,0,0
1097,19,19,0,0
1098,47,61,14,0
1099,11,13,2,0
1100,111,92,19,0
1101,96,90,6,0
1102,64,67,3,0
1103,11,11,0,0
1104,16,19,3,0
1105,98,101,3,0
1106,20,24,4,0
1107,26,23,3,0
1108,17,17,0,0
1109,54,67,13,0
1110,25,28,3,0
1111,544,495,49,0
1112,12,14,2,0
1113,82,59,23,0
1114,37,34,3,0
1115,16,16,0,0
1116,53,53,0,0
1117,82,85,3,0
1118,20,20,0,0
1119,59,70,11,0
1120,23,28,5,0
1121,75,79,4,0
1122,174,219,45,0
1123,11,9,2,0
1124,174,157,17,0
1125,9,9,0,0
1126,12,12,0,0
1127,57,49,8,0
1128,9,8,1,0
1129,74,77,3,0
1130,11,10,1,0
1131,50,53,3,0
1132,42,47,5,0
1133,15,14,1,0
1134,165,145,20,0
1135,66,53,13,0
1136,38,36,2,0
1137,30,32,2,0
1138,49,46,3,0
1139,37,37,0,0
1140,157,167,10,0
1141,22,22,0,0
1142,47,48,1,0
1143,25,31,6,0
1144,48,41,7,0
1145,14,12,2,0
1146,195,199,4,0
1147,18,18,0,0
1361,36,28,8,0
1362,18,20,2,0
1363,28,25,3,0
1364,15,14,1,0
1365,20,19,1,0
1366,9,9,0,0
1367,41,35,6,0
1368,47,48,1,0
1585,28,31,3,0
1586,33,33,0,0
1587,14,14,0,0
1588,72,72,0,0
1589,15,15,0,0
1590,28,28,0,0
1591,61,57,4,0
1592,202,199,3,0
1593,20,20,0,0
1594,25,26,1,0
1596,13,17,4,0
1597,27,27,0,0
1598,19,19,0,0
1599,86,77,9,0
1600,54,54,0,0
1601,65,67,2,0
1602,24,24,0,0
1603,49,50,1,0
1604,45,25,20,0
1605,77,78,1,0
1606,60,60,0,0
1607,43,45,2,0
1608,25,25,0,0
1609,45,45,0,0
1610,56,57,1,0
1611,13,14,1,0
1612,23,23,0,0
1613,78,76,2,0
1614,9,9,0,0
1615,52,52,0,0
1616,17,17,0,0
1617,25,25,0,0
1618,29,29,0,0
1619,68,68,0,0
1620,14,14,0,0
1621,12,12,0,0
1622,36,36,0,0
1623,11,11,0,0
1624,24,24,0,0
1625,14,15,1,0
1626,67,67,0,0
1627,22,22,0,0
1628,38,37,1,0
1629,105,106,1,0
1630,25,25,0,0
1734,20,19,1,0
1735,10,11,1,0
1736,17,17,0,0
1773,24,24,0,0
1774,47,47,0,0
1775,45,47,2,0
1776,50,56,6,0
1777,42,43,1,0
1778,43,57,14,0
1779,58,62,4,0
1780,13,14,1,0
1877,19,17,2,0
1878,20,22,2,0
1879,19,19,0,0
1880,21,21,0,0
1881,9,9,0,0
1882,12,12,0,0
1883,18,18,0,0
1884,30,30,0,0
1885,23,23,0,0
1886,15,15,0,0
1887,31,31,0,0
1888,37,37,0,0
1889,16,16,0,0
1890,34,31,3,0
1912,153,159,6,0
1913,16,16,0,0
1914,31,31,0,0
1915,154,143,11,0
1916,136,125,11,0
1917,63,84,21,0
1918,92,93,1,0
1919,210,195,15,0
1920,43,47,4,0
1921,185,171,14,0
1922,68,87,19,0
1923,159,151,8,0
1924,49,48,1,0
1925,450,411,39,0
1926,9,9,0,0
1927,56,55,1,0
1928,122,118,4,0
1929,33,34,1,0
1930,99,98,1,0
1931,178,236,58,0
1932,57,62,5,0
1933,133,140,7,0
1934,66,67,1,0
1935,113,106,7,0
1936,146,145,1,0
1937,350,342,8,0
1938,72,88,16,0
1939,295,308,13,0
1940,258,248,10,0
1941,25,25,0,0
1942,36,36,0,0
1943,12,12,0,0
2020,12,11,1,0
2084,45,51,6,0
2085,37,38,1,0
2086,107,105,2,0
2087,103,104,1,0
2088,161,168,7,0
2089,96,98,2,0
2090,91,94,3,0
2091,15,15,0,0
2092,60,61,1,0
2093,70,69,1,0
2218,59,54,5,0
2219,13,14,1,0
2220,60,59,1,0
2221,15,15,0,0
2222,87,72,15,0
2223,35,39,4,0
2224,35,39,4,0
2225,14,14,0,0
2226,11,11,0,0
2227,46,42,4,0
2228,65,75,10,0
2229,13,14,1,0
2230,45,40,5,0
2231,24,25,1,0
2232,36,36,0,0
2233,41,48,7,0
2265,36,36,0,0
2266,34,33,1,0
2267,16,16,0,0
2268,8,8,0,0
2269,11,11,0,0
2270,111,111,0,0
2616,95,98,3,0
2617,275,284,9,0
2618,11,11,0,0
2619,119,129,10,0
2620,37,37,0,0
2621,9,10,1,0
2622,42,40,2,0
2623,10,10,0,0
2624,118,118,0,0
2625,76,75,1,0
2626,48,48,0,0
2627,11,12,1,0
2628,25,25,0,0
2629,23,23,0,0
2630,221,225,4,0
2631,58,55,3,0
2632,24,24,0,0
2633,54,54,0,0
2634,108,118,10,0
2635,94,87,7,0
2636,12,12,0,0
2637,86,88,2,0
2638,12,12,0,0
2639,118,119,1,0
2640,28,29,1,0
2641,59,60,1,0
2662,12,12,0,0
2663,24,24,0,0
2664,11,13,2,0
2665,37,39,2,0
2666,12,13,1,0
2667,8,8,0,0
2668,15,15,0,0
2669,13,13,0,0
2670,12,12,0,0
2671,46,45,1,0
2672,10,10,0,0
2673,12,12,0,0
2674,13,13,0,0
2713,34,34,0,0
2714,11,11,0,0
2715,36,33,3,0
2716,21,18,3,0
2819,65,72,7,0
2820,91,98,7,0
2821,115,112,3,0
2822,333,310,23,0
2823,27,26,1,0
2824,118,125,7,0
2825,43,40,3,0
2826,25,25,0,0
2827,323,328,5,0
2828,11,11,0,0
2829,221,196,25,0
2830,110,114,4,0
2831,32,31,1,0
2832,108,97,11,0
2833,44,49,5,0
2834,83,94,11,0
2835,44,44,0,0
2836,131,131,0,0
2837,191,197,6,0
2838,15,15,0,0
2839,77,78,1,0
2935,12,11,1,0
2936,12,12,0,0
2937,69,67,2,0
2938,14,14,0,0
2939,9,9,0,0
2940,10,10,0,0
2941,11,11,0,0
2942,11,9,2,0
2943,16,16,0,0
2944,13,14,1,0
2945,63,67,4,0
2946,30,30,0,0
2947,15,12,3,0
2948,8,8,0,0
2949,10,10,0,0
2950,12,12,0,0
3012,12,12,0,0
3013,18,17,1,0
3014,26,25,1,0
3015,10,6,4,0
3016,13,14,1,0
3017,14,14,0,0
3018,12,11,1,0
3019,10,9,1,0
3020,8,8,0,0
3021,18,18,0,0
3022,21,21,0,0
3369,68,67,1,0
3370,40,40,0,0
3371,42,41,1,0
3372,44,46,2,0
3373,126,135,9,0
3374,76,77,1,0
3375,32,33,1,0
3376,35,33,2,0
3377,28,29,1,0
3378,15,14,1,0
3379,101,95,6,0
3380,11,11,0,0
3381,37,37,0,0
3382,32,32,0,0
3383,14,16,2,0
3384,27,28,1,0
3385,64,70,6,0
3386,27,28,1,0
3387,50,51,1,0
3388,28,31,3,0
3389,11,11,0,0
3390,8,8,0,0
3391,83,88,5,0
3392,35,37,2,0
3393,51,47,4,0
3394,14,15,1,0
3395,16,18,2,0
3396,18,18,0,0
3397,11,11,0,0
3398,250,267,17,0
3399,78,80,2,0
3400,24,24,0,0
3401,16,16,0,0
3402,14,15,1,0
3403,30,29,1,0
3404,39,46,7,0
3405,10,10,0,0
3406,87,80,7,0
3407,91,98,7,0
3408,37,38,1,0
3409,95,89,6,0
3410,31,31,0,0
3411,20,49,29,0
3412,13,14,1,0
3413,8,8,0,0
3414,31,30,1,0
3415,67,70,3,0
3416,142,133,9,0
3417,40,40,0,0
3418,63,73,10,0
3419,40,39,1,0
3420,36,36,0,0
3421,74,63,11,0
3422,58,65,7,0
3423,56,60,4,0
3424,54,52,2,0
3425,19,19,0,0
3426,9,9,0,0
3427,11,11,0,0
3428,58,67,9,0
3429,20,20,0,0
3430,31,32,1,0
3431,175,173,2,0
3432,56,41,15,0
3433,65,65,0,0
3434,49,51,2,0
3435,41,38,3,0
3436,71,72,1,0
3437,205,218,13,0
3438,18,18,0,0
3439,95,104,9,0
3440,33,33,0,0
3441,166,172,6,0
3442,247,245,2,0
3443,51,56,5,0
3444,29,35,6,0
3445,145,136,9,0
3446,102,110,8,0
3447,93,102,9,0
3448,118,97,21,0
3449,31,33,2,0
3450,29,26,3,0
3451,363,359,4,0
3452,30,30,0,0
3453,218,217,1,0
3454,51,53,2,0
3455,15,14,1,0
3456,46,47,1,0
3457,19,21,2,0
3458,109,120,11,0
3459,44,46,2,0
3621,30,39,9,0
3622,193,176,17,0
3623,63,63,0,0
3624,87,72,15,0
3625,15,15,0,0
3626,46,42,4,0
3627,36,33,3,0
3628,111,107,4,0
3820,16,16,0,0
3821,12,12,0,0
3822,25,25,0,0
3823,33,33,0,0
3824,65,66,1,0
3825,27,26,1,0
3826,18,35,17,0
3827,35,35,0,0
3828,23,23,0,0
3829,9,109,100,0
3830,57,57,0,0
3831,150,150,0,0
3832,153,154,1,0
3833,26,26,0,0
3834,44,44,0,0
3835,31,31,0,0
3836,40,41,1,0
3837,16,16,0,0
3838,18,18,0,0
3839,13,13,0,0
3840,9,8,1,0
3841,11,11,0,0
3842,9,9,0,0
3843,9,9,0,0
3844,9,9,0,0
3845,9,9,0,0
3846,10,10,0,0
3847,9,9,0,0
3848,14,14,0,0
3849,8,8,0,0
3850,13,13,0,0
3851,14,14,0,0
3852,12,13,1,0
3913,25,25,0,0
3914,72,71,1,0
3915,131,128,3,0
3916,18,18,0,0
3917,11,11,0,0
3918,54,53,1,0
3955,131,128,3,0
3956,122,117,5,0
3957,89,104,15,0
3958,88,94,6,0
3959,262,238,24,0
3960,84,81,3,0
3961,155,134,21,0
3962,121,122,1,0
3963,18,18,0,0
3964,72,72,0,0
3965,89,84,5,0
3966,112,104,8,0
4012,13,14,1,0
4013,189,191,2,0
4014,16,16,0,0
4015,8,8,0,0
4016,33,33,0,0
4017,51,52,1,0
4018,30,30,0,0
4019,20,20,0,0
4020,9,9,0,0
4021,26,26,0,0
4022,90,91,1,0
4023,12,12,0,0
4024,67,70,3,0
4025,51,51,0,0
4026,32,32,0,0
4027,33,33,0,0
4028,42,42,0,0
4029,8,8,0,0
4030,47,47,0,0
4031,12,12,0,0
4032,51,51,0,0
4033,32,32,0,0
4034,16,16,0,0
4035,49,50,1,0
4036,17,16,1,0
4037,32,32,0,0
4038,93,95,2,0
4039,23,23,0,0
4040,15,15,0,0
4041,15,15,0,0
4042,40,40,0,0
4043,128,128,0,0
4044,23,23,0,0
4045,33,33,0,0
4046,149,155,6,0
4047,22,22,0,0
4048,21,21,0,0
4225,35,42,7,0
4226,21,21,0,0
4227,48,48,0,0
4228,13,14,1,0
4229,84,81,3,0
4230,71,73,2,0
4231,58,59,1,0
4232,45,40,5,0
4233,50,48,2,0
4234,12,13,1,0
4235,157,176,19,0
4236,14,14,0,0
4237,35,33,2,0
4238,43,42,1,0
4239,31,34,3,0
4240,46,42,4,0
4241,110,107,3,0
4242,53,55,2,0
4243,26,26,0,0
4244,90,93,3,0
4245,37,37,0,0
4246,51,53,2,0
4247,12,12,0,0
4248,34,34,0,0
4249,146,147,1,0
4250,101,106,5,0
4251,41,43,2,0
4252,56,54,2,0
4253,9,9,0,0
4254,23,23,0,0
4255,96,90,6,0
4256,128,126,2,0
4257,69,75,6,0
4258,24,18,6,0
4259,14,14,0,0
4260,47,50,3,0
4261,56,54,2,0
4262,12,12,0,0
4263,165,162,3,0
4264,35,31,4,0
4265,101,108,7,0
4266,122,118,4,0
4267,92,88,4,0
4268,27,29,2,0
4269,79,77,2,0
4270,18,17,1,0
4271,18,18,0,0
4272,113,110,3,0
4273,45,44,1,0
4274,111,108,3,0
4275,51,51,0,0
4276,52,49,3,0
4277,74,73,1,0
4278,75,69,6,0
4279,57,58,1,0
4280,34,37,3,0
4281,13,13,0,0
4282,21,23,2,0
4283,38,38,0,0
4284,9,9,0,0
4285,43,46,3,0
4286,42,45,3,0
4287,95,89,6,0
4288,25,25,0,0
4289,135,120,15,0
4290,78,83,5,0
4349,12,12,0,0
4350,38,50,12,0
4351,12,12,0,0
4352,12,12,0,0
4353,39,44,5,0
4354,18,18,0,0
4355,30,30,0,0
4356,35,35,0,0
4357,13,13,0,0
4358,16,17,1,0
4359,22,22,0,0
4360,10,10,0,0
4361,11,11,0,0
4362,58,65,7,0
4363,76,74,2,0
4364,14,14,0,0
4365,9,9,0,0
4366,20,20,0,0
4367,12,12,0,0
4368,17,16,1,0
4369,15,15,0,0
4370,18,18,0,0
4371,10,10,0,0
4372,31,30,1,0
4373,8,8,0,0
4374,27,29,2,0
4375,10,10,0,0
4376,10,10,0,0
4377,48,45,3,0
4378,15,15,0,0
4476,12,12,0,0
4477,102,102,0,0
4478,86,77,9,0
4479,42,31,11,0
4480,60,60,0,0
4481,185,183,2,0
4482,103,101,2,0
4483,82,91,9,0
4484,104,108,4,0
4485,84,83,1,0
4486,47,46,1,0
4487,108,110,2,0
4488,112,115,3,0
4673,34,29,5,0
4674,293,247,46,0
4675,73,85,12,0
4676,24,24,0,0
4677,39,41,2,0
4678,12,12,0,0
4679,35,32,3,0
4680,15,15,0,0
4681,82,78,4,0
4682,111,121,10,0
4683,42,46,4,0
4684,25,27,2,0
4685,89,88,1,0
4686,74,68,6,0
4687,34,35,1,0
4688,49,51,2,0
4689,41,38,3,0
4690,12,12,0,0
4691,13,13,0,0
4692,74,74,0,0
4693,76,59,17,0
4694,324,357,33,0
4695,74,79,5,0
4696,23,23,0,0
4697,16,17,1,0
4698,90,90,0,0
4699,17,17,0,0
4700,95,98,3,0
4701,25,25,0,0
4702,50,44,6,0
4703,92,93,1,0
4704,240,238,2,0
4705,118,125,7,0
4706,34,35,1,0
4707,10,10,0,0
4708,32,43,11,0
4709,36,35,1,0
4710,42,40,2,0
4711,45,47,2,0
4712,10,10,0,0
4713,41,41,0,0
4714,675,695,20,0
4715,66,68,2,0
4716,21,21,0,0
4717,89,90,1,0
4718,101,92,9,0
4979,72,136,64,0
4980,18,18,0,0
4981,16,31,15,0
4982,14,21,7,0
5075,35,28,7,0
5076,500,544,44,0
5077,36,36,0,0
5078,13,16,3,0
5079,199,205,6,0
5080,48,49,1,0
5081,108,91,17,0
5082,20,20,0,0
5083,19,19,0,0
5084,33,30,3,0
5085,309,308,1,0
5086,41,48,7,0
5087,240,178,62,0
5088,100,108,8,0
5089,123,117,6,0
5090,361,301,60,0
5091,9,9,0,0
5092,10,10,0,0
5093,371,348,23,0
5156,16,16,0,0
5157,25,25,0,0
5158,101,101,0,0
5159,32,32,0,0
5160,17,17,0,0
5161,30,30,0,0
5162,33,40,7,0
5163,36,43,7,0
5164,107,163,56,0
5165,52,57,5,0
5166,298,316,18,0
5167,21,21,0,0
5168,27,27,0,0
5169,32,40,8,0
5170,111,113,2,0
5171,289,305,16,0
5172,38,43,5,0
5173,24,24,0,0
5174,22,23,1,0
5175,70,72,2,0
5176,93,127,34,0
5177,81,80,1,0
5178,191,217,26,0
5179,17,17,0,0
5180,50,46,4,0
5181,48,47,1,0
5182,25,25,0,0
5183,36,37,1,0
5184,14,16,2,0
5185,45,45,0,0
5186,31,31,0,0
5187,34,32,2,0
5188,23,23,0,0
5189,68,59,9,0
5190,43,43,0,0
5191,26,35,9,0
5192,44,61,17,0
5230,49,55,6,0
5231,24,24,0,0
5232,17,17,0,0
5233,16,16,0,0
5234,15,15,0,0
5235,23,24,1,0
5236,89,91,2,0
5237,30,30,0,0
5238,58,70,12,0
5239,20,20,0,0
5240,24,29,5,0
5241,12,12,0,0
5242,11,11,0,0
5243,145,146,1,0
5244,12,12,0,0
5245,24,24,0,0
5246,113,121,8,0
5247,39,119,80,0
5248,68,74,6,0
5249,26,32,6,0
5250,30,30,0,0
5251,49,55,6,0
5252,12,12,0,0
5354,49,53,4,0
5355,32,32,0,0
5356,43,48,5,0
5357,60,60,0,0
5358,20,20,0,0
5359,54,54,0,0
5360,32,32,0,0
5361,43,45,2,0
5362,28,28,0,0
5363,36,36,0,0
5364,31,37,6,0
5365,55,55,0,0
5366,56,56,0,0
5367,36,36,0,0
5368,52,52,0,0
5369,25,25,0,0
5370,71,69,2,0
5371,73,69,4,0
5372,72,87,15,0
5373,292,283,9,0
5374,175,177,2,0
5375,370,376,6,0
5402,48,48,0,0
5403,70,72,2,0
5404,24,24,0,0
5405,21,21,0,0
5406,16,16,0,0
5407,21,21,0,0
5408,21,21,0,0
5409,25,25,0,0
5410,25,25,0,0
5411,45,45,0,0
5412,25,19,6,0
5413,65,65,0,0
5414,98,87,11,0
5415,60,60,0,0
5416,24,24,0,0
5417,35,35,0,0
5418,30,30,0,0
5419,40,40,0,0
5420,120,115,5,0
5421,36,37,1,0
5422,49,51,2,0
5423,113,94,19,0
5424,56,55,1,0
5425,47,47,0,0
5426,47,45,2,0
5427,60,58,2,0
5428,29,29,0,0
5429,121,107,14,0
5430,93,93,0,0
5431,75,73,2,0
5432,53,50,3,0
5433,94,80,14,0
5492,40,40,0,0
5493,24,23,1,0
5494,100,100,0,0
5495,272,286,14,0
5496,95,94,1,0
5497,44,44,0,0
5498,118,117,1,0
5499,158,159,1,0
5500,211,208,3,0
5501,25,25,0,0
5502,351,334,17,0
5503,60,65,5,0
5504,59,59,0,0
5505,146,146,0,0
5506,43,44,1,0
5507,34,32,2,0
5508,221,296,75,0
5509,36,36,0,0
5510,114,114,0,0
5511,508,531,23,0
5512,51,51,0,0
5513,141,136,5,0
5514,144,144,0,0
5515,90,138,48,0
5516,253,355,102,0
5517,90,136,46,0
5518,194,209,15,0
5519,36,86,50,0
5520,45,92,47,0
5521,73,137,64,0
5522,60,101,41,0
5523,67,67,0,0
5524,29,21,8,0
5525,30,30,0,0
5526,30,30,0,0
5527,32,31,1,0
5528,58,62,4,0
5605,44,45,1,0
5606,117,97,20,0
5607,128,128,0,0
5608,198,100,98,0
5609,31,31,0,0
5610,195,168,27,0
5611,122,73,49,0
5612,109,117,8,0
5613,180,169,11,0
5614,67,68,1,0
5615,81,78,3,0
5616,166,165,1,0
5617,51,50,1,0
5618,190,221,31,0
5619,209,203,6,0
5620,20,18,2,0
5621,75,74,1,0
5679,22,21,1,0
5680,18,19,1,0
5681,21,23,2,0
5682,16,26,10,0
5683,10,14,4,0
5684,15,17,2,0
5685,31,33,2,0
5686,77,82,5,0
5687,17,15,2,0
5688,21,20,1,0
5689,39,41,2,0
5692,20,20,0,0
5693,26,24,2,0
5694,27,28,1,0
5695,63,69,6,0
5696,13,12,1,0
5697,16,15,1,0
5698,13,12,1,0
5699,22,20,2,0
5700,19,21,2,0
5701,23,19,4,0
5702,23,25,2,0
5703,36,33,3,0
5704,38,42,4,0
5705,22,24,2,0
5706,11,15,4,0
5707,107,101,6,0
5708,21,20,1,0
5776,23,23,0,0
5777,384,405,21,0
5778,30,28,2,0
5779,512,474,38,0
5780,15,16,1,0
5781,96,96,0,0
5782,100,101,1,0
5783,32,30,2,0
5784,256,256,0,0
5785,100,100,0,0
5830,19,20,1,0
5831,19,20,1,0
5832,19,19,0,0
5833,18,21,3,0
5834,19,19,0,0
5835,19,19,0,0
5836,19,21,2,0
5837,19,19,0,0
5838,13,15,2,0
5858,87,88,1,0
5859,77,76,1,0
5860,84,67,17,0
5861,78,77,1,0
5862,104,106,2,0
5863,78,77,1,0
5864,79,79,0,0
5865,83,82,1,0
5866,104,105,1,0
5959,96,102,6,0
5960,40,45,5,0
5961,64,115,51,0
5962,64,101,37,0
5963,44,21,23,0
5964,47,48,1,0
5965,42,42,0,0
5969,233,242,9,0
5970,104,106,2,0
5971,217,217,0,0
5972,72,71,1,0
5973,110,119,9,0
5974,212,233,21,0
5980,19,20,1,0
5981,29,30,1,0
5982,24,30,6,0
5996,16,16,0,0
5997,41,41,0,0
5998,25,35,10,0
5999,159,155,4,0
6000,59,65,6,0
6002,36,175,139,0
6003,13,577,564,0
